X-Coordinate,Y-Coordinate,Diameter,Angle-Psi,Origin X (Ang),Origin Y (Ang),Defocus U,Defocus V,Defocus Angle,Phase Shift,CTF B Factor
3404,3127,142,235.102036,0.0,0.0,7226.69043,6981.842285,-11.75974,0.0,0.0
3568,1564,142,22.040813,-6.32112,3.16056,7203.397949,6958.549805,-11.75974,0.0,0.0
810,2523,142,22.040813,0.0,0.0,7072.681152,6827.833008,-11.75974,0.0,0.0
242,1180,142,249.795898,0.0,0.0,6998.686035,6753.837891,-11.75974,0.0,0.0
2864,938,142,213.061203,-3.16056,3.16056,7109.001465,6864.15332,-11.75974,0.0,0.0
3468,2573,142,14.693877,0.0,0.0,7241.746582,6996.898438,-11.75974,0.0,0.0
1265,1521,142,242.448975,0.0,-3.16056,7055.588867,6810.740723,-11.75974,0.0,0.0
1677,526,142,271.836731,-6.32112,0.0,6986.316406,6741.468262,-11.75974,0.0,0.0
1855,1379,142,7.346939,0.0,-3.16056,7070.472656,6825.624512,-11.75974,0.0,0.0
3504,2886,142,235.102036,0.0,0.0,7239.723633,6994.875488,-11.75974,0.0,0.0
206,3312,142,110.204079,0.0,3.16056,7136.618164,6891.77002,-11.75974,0.0,0.0
945,206,142,242.448975,3.16056,0.0,6946.719727,6701.871582,-11.75974,0.0,0.0
1343,3333,142,330.612244,0.0,0.0,7100.178223,6855.330078,-11.75974,0.0,0.0
3497,1734,142,102.85714,0.0,0.0,7207.995605,6963.147461,-11.75974,0.0,0.0
2644,2480,142,29.387754,-3.16056,3.16056,7146.595703,6901.747559,-11.75974,0.0,0.0
362,1336,142,227.755096,0.0,3.16056,7005.397461,6760.549316,-11.75974,0.0,0.0
2374,1770,142,161.632645,6.32112,3.16056,7102.998535,6858.150391,-11.75974,0.0,0.0
554,327,142,73.469383,3.16056,-3.16056,6989.862305,6745.01416,-11.75974,0.0,0.0
256,1549,142,227.755096,0.0,0.0,7005.365723,6760.517578,-11.75974,0.0,0.0
2417,1166,142,146.938766,0.0,3.16056,7088.516602,6843.668457,-11.75974,0.0,0.0
3078,3568,142,51.42857,0.0,3.16056,7237.198242,6992.350098,-11.75974,0.0,0.0
249,988,142,29.387754,-3.16056,0.0,7000.670898,6755.822754,-11.75974,0.0,0.0
1557,519,142,102.85714,0.0,0.0,6978.814941,6733.966797,-11.75974,0.0,0.0
2836,3454,142,124.897949,0.0,0.0,7237.180176,6992.332031,-11.75974,0.0,0.0
3348,1798,142,301.224457,0.0,0.0,7193.891602,6949.043457,-11.75974,0.0,0.0
2935,1635,142,227.755096,0.0,0.0,7141.525391,6896.677246,-11.75974,0.0,0.0
434,2651,142,14.693877,0.0,0.0,7074.871582,6830.023438,-11.75974,0.0,0.0
320,1770,142,66.122444,0.0,3.16056,7018.106934,6773.258789,-11.75974,0.0,0.0
3298,2303,142,301.224457,-3.16056,-3.16056,7212.947754,6968.099609,-11.75974,0.0,0.0
1649,796,142,213.061203,3.16056,-3.16056,7015.615234,6770.76709,-11.75974,0.0,0.0
3582,3483,142,0.0,0.0,0.0,7197.603027,6952.754883,-11.75974,0.0,0.0
1976,995,142,337.959167,3.16056,3.16056,7052.43457,6807.586426,-11.75974,0.0,0.0
817,2964,142,227.755096,0.0,3.16056,7086.471191,6841.623047,-11.75974,0.0,0.0
1407,3198,142,308.571411,3.16056,3.16056,7100.501465,6855.65332,-11.75974,0.0,0.0
1635,1059,142,235.102036,-3.16056,6.32112,7040.185059,6795.336914,-11.75974,0.0,0.0
1095,1173,142,95.510201,3.16056,0.0,7027.927734,6783.07959,-11.75974,0.0,0.0
3618,2317,142,117.551018,-3.16056,3.16056,7258.416992,7013.568848,-11.75974,0.0,0.0
1677,2097,142,168.979584,0.0,0.0,7084.339844,6839.491699,-11.75974,0.0,0.0
3092,3220,142,168.979584,3.16056,0.0,7223.059082,6978.210938,-11.75974,0.0,0.0
697,1343,142,337.959167,0.0,0.0,7021.307129,6776.458984,-11.75974,0.0,0.0
2793,2779,142,264.489777,0.0,0.0,7179.976562,6935.128418,-11.75974,0.0,0.0
2999,3149,142,242.448975,0.0,3.16056,7217.639648,6972.791504,-11.75974,0.0,0.0
1002,1265,142,205.714279,6.32112,0.0,7030.412109,6785.563965,-11.75974,0.0,0.0
